Property.Address.StreetAddress,Property.Address.UnitNumber,Property.Address.City,Property.Address.Province,PostalCode,Property.Address.Country,Property.Address.Latitude,Property.Address.Longitude,MlsNumber,Property.PriceUnformattedValue,DetailsURL,Building.SizeInterior,Building.Bedrooms,Building.BathroomTotal,Building.StoriesTotal,Building.UnitTotal,Land.SizeTotal,Land.SizeFrontage,Property.PhotoLink,Property.Type,Building.Type,Property.OwnershipType,Property.ParkingType,Property.ParkingSpaceTotal,PublicRemarks
1100 Courtland Avenue E,1004,Kitchener,Ontario,N2C2H9,Canada,43.4226661,-80.46174593,40110826,299900,https://realtor.ca/real-estate/23197876/1100-courtland-avenue-e-unit-1004-kitchener,992.2900,2 + 0,1,1,0,,,https://cdn.realtor.ca/listings/TS637565055873200000/reb16/highres/6/40110826_1.jpg,Single Family,Apartment,Condominium,Covered,,"Welcome to care free living at the Courtland Terrace! This bright and spacious 2 bedroom condo sits on the top floor of the building and boasts fantastic city views. With two large bedrooms and an open concept main living area, working from home has never been easier as this space is truly versatile. A second room off of the foyer assists in solving your storage worries of condo living, permitting you to tuck away all of your extra belongings. You can also reap the benefits of western exposure and enjoy beautiful sunsets while sipping a glass of wine on your covered balcony. The included covered parking spot # 10 is located at the rear with secure access into the building through the back door. Great building amenities with recently renovated lobby, visitor parking, laundry room, sauna, fitness room, party room and beautiful outdoor swimming pool to relax around in the summer months. Enjoy the convenience of a central location close to schools, shopping, parks, highway access, public transit and more! Contact today for all inquiries! (63308702)"
491 Strasburg Road,,Kitchener,Ontario,N2E1P1,Canada,43.42013787,-80.48440922,40107647,450000,https://realtor.ca/real-estate/23197133/491-strasburg-road-kitchener,1108.0000,3 + 0,2,2,0,under 1/2 acre,30 ft,https://cdn.realtor.ca/listings/TS637565010841900000/reb16/highres/7/40107647_1.jpg,Single Family,House,Freehold,,,"Spacious three bedroom family home with bright eat in kitchen overlooking the deck and good sized fully fenced yard. Carpet free (other than basement).  Freshly painted. Fridge, stove, washer, dryer and central vac included.   Close to schools, shopping, public transit, expressway access. 10 minute walk to McLennan Park which offers a splash pad, skate park, basketball court,  playground, leash free dog park and more!   Roof 2012. Siding 2018. Furnace & air conditioner 2008. Deck 2001. Patio door, kitchen & bedroom windows 1999. Front (with keypad) & side entrance doors 2008.  Public schools: Alpine JK-6, Laurentian 7-8, Cameron Heights.  Catholic schools: Our Lady of Grace JK-8, St. Mary's (verify prior to September) (63304780)"
950 Highland Road W,4,Kitchener,Ontario,N2N0A5,Canada,43.43022645,-80.53188413,40112848,399900,https://realtor.ca/real-estate/23197545/950-highland-road-w-unit-4-kitchener,1226.0000,3 + 0,1,1,,,,https://cdn.realtor.ca/listings/TS637565025240700000/reb16/highres/8/40112848_1.jpg,Single Family,Apartment,Condominium,,,"3 Bedroom Kitchener Condo!  Location is everything...steps to shopping at Highland Hills Mall, easy expressway access, and plenty of parks nearby.  This unit comes with 2 parking spots!  You'll love the open concept kitchen/dining/living space.  The kitchen features an island with breakfast bar, tile floor, glass backsplash, and wood cabinets.  Step out onto your balcony from the dinette.  Bright and spacious living room with laminate floors.  The primary bedroom has laminate flooring and a double closet.  An impressive amount of storage in the utility room!  The main bath is spotless with tiled floors and a large linen closet.  Come make this your home! (63310393)"
115 Upper Canada Drive,,Kitchener,Ontario,N2P1G2,Canada,43.39765255,-80.44117369,40112158,585900,https://realtor.ca/real-estate/23197130/115-upper-canada-drive-kitchener,1050.0000,3 + 1,2,1,0,under 1/2 acre,80 ft,https://cdn.realtor.ca/listings/TS637565007555000000/reb16/highres/8/40112158_1.jpg,Single Family,House,Freehold,,,"Curb appeal? Check! Location? Check! Great yard? Check! Lots of parking? Check! This beautiful brick bungalow, with it's well thought out in-law suite can be your new home. Pride of ownership, and immaculately kept, you must come see it. With 3 good sized bedrooms, new roof (shingles 2020) and an updated bathroom on the main(2020)- freshly painted/carpet free upper level and spotless you won't be disappointed. Perfect for multi-generation living- or just needing a second kitchen for extra cooking space for the great family get-togethers that we WILL get back to, the lower level with separate entrance makes this an attractive option. The lower bedroom has an egress window, and there is a full 3 pc. bathroom as well. The lower level has new subfloor and high R-value insulation added (2020), updated electrical (2015), and shared laundry. The large, fully fenced backyard boasts 2 levels for use. One level boasts a shed and large pool sized green space, and the upper level has great fire-pit /play area and loads of storage with 2 sheds. With an extra parking area for toys/boat/RV located behind the gated driveway, and room to breathe, this home won't last long.  Located 1 block from elementary school, and minutes to the 401 and Conestoga College, I know that you will feel welcome here from the first moment you pull up in front. Call your realtor and book your showing soon!  Offer presentation to be Tuesday, May18/21, but sellers open to pre-emptive offers after May 16/21 with 24 hr irrevocable. (63309288)"
977 Vine Street S,,Cambridge,Ontario,N3H2Z7,Canada,43.39039155,-80.3574953,40113240,589900,https://realtor.ca/real-estate/23197504/977-vine-street-s-cambridge,1361.0000,3 + 0,2,1.5000,0,under 1/2 acre,44 ft,https://cdn.realtor.ca/listings/TS637565040389400000/reb20/highres/0/40113240_1.jpg,Single Family,House,Freehold,Attached Garage,4,"First time offered to market in over 40 years, this fabulous South Preston 1.5 storey home is located in a mature, sought after neighborhood central to all amenities. Sitting on a huge 44 x 165ft fenced lot, this wonderful home offers  all the charm and character of yesteryear combined with the updated necessities of today. Featuring 3 beds, 2 baths, 6 appliances,  high ceilings, classic wood trim,  quartz counters, c/air, owned water heater and new roof (2020).  Enjoy morning coffee and beautiful evening sunsets in the spacious family room addition overlooking  the large deck and landscaped private yard.  The finished lower level offers a large rec room, games/den area  and a good sized laundry room with plenty of storage. Also featuring a single attached garage with deep drive comfortably parking 3 vehicles.  Only minutes to schools, shopping, public transit, scenic nature trails and Hwy 401, this home is easy to show and offers quick possession. (63310744)"
125 Donnenwerth Drive,,Kitchener,Ontario,N2E4C8,Canada,43.40137273,-80.50930483,40113137,589900,https://realtor.ca/real-estate/23197538/125-donnenwerth-drive-kitchener,,3 + 0,2,2,,under 1/2 acre,27 ft,https://cdn.realtor.ca/listings/TS637565028726430000/reb16/highres/7/40113137_1.jpg,Single Family,Row / Townhouse,Freehold,Attached Garage,2,"Welcome home to 125 Donnenwerth Dr! This 3 bedroom, 2 bathroom freehold end-unit townhome is fully finished and move-in ready. Step inside the front door where you will find a good sized front hall closet, 2 piece powder room and access to the garage. The main floor features an open concept floor plan, white kitchen, tile and laminate flooring and sliders to your fully fenced backyard. The good sized backyard has a shed and is ready for your finishing touches - make it your own and enjoy it all summer long. Upstairs is the large primary bedroom with walk in closet, 4 piece bath, and 2 more great sized bedrooms. The basement is fully finished and features laminate flooring, laundry room and plenty of storage. The home has been freshly painted top to bottom and is available for immediate possession! Call today to book you private showing. Offers to be reviewed Tues May 18th at 7pm. (63310675)"
264 Sophia Crescent,,Kitchener,Ontario,N2R1X9,Canada,43.3867139,-80.48636975,40109023,600000,https://realtor.ca/real-estate/23197620/264-sophia-crescent-kitchener,1405.0000,3 + 0,2,2,0,under 1/2 acre,18 ft,https://cdn.realtor.ca/listings/TS637565037587700000/reb16/highres/3/40109023_1.jpg,Single Family,Row / Townhouse,Freehold,Attached Garage,3,"EXCEPTIONALLY WELL CARED FOR MULTI LEVEL FREEHOLD TOWNHOME! Absolutely No Condo fees here!  This 3 bedroom 2 bathroom home begins with enough parking for 3 vehicles combined between the double driveway and garage.  This gem features gorgeous rich maple cabinetry in the spacious Eat-In kitchen, along with stainless steel appliances, breakfast bar and walkout to the raised deck.  A convenient 2 piece bath along with main floor laundry area are nestled off to the side here.  Moving on up you will find a fantastic family room area just beneath the childrens bedrooms and another 4piece bathroom.  The top floor boasts a beautiful master bedroom large enough for a king sized bed!  Heading downstairs, there is even more finished living space featuring a Rec room area/Gym/office work from home space! On this level, next to the utility area you will find a rough in bath for that 3rd washroom!  One more level down there is even more area for storage to tuck away your precious items.  Minutes away from great schools, trails, shopping, transit! (63306643)"
177 Esson Street,,Waterloo,Ontario,N2L2A2,Canada,43.45639259,-80.52008115,40113312,600000,https://realtor.ca/real-estate/23197535/177-esson-street-waterloo,1441.0000,3 + 0,2,2,0,under 1/2 acre,39 ft,https://cdn.realtor.ca/listings/TS637565028886000000/reb16/highres/2/40113312_1.jpg,Single Family,House,Freehold,Detached Garage,3,"Lovely 2 Storey brick home! Beautiful original doors, trim, and hardwood flooring. Good sized bedrooms and recently updated 4 pc. bath with claw foot tub. Great potential for an in-law suite, the side entry leads to the basement staircase. The private backyard has a covered deck, second floor balcony, and perennial gardens. Updates include central air 2011, Furnace 2014, upgraded insulation in attic 2014, roof, eaves and downspouts 2014, bedroom and hallway windows 2015. This prime location is a quick walk to Belmont Village and Uptown Waterloo. (63310847)"
279 Sandowne Drive,20,Waterloo,Ontario,N2K2C1,Canada,43.49043906,-80.50595122,40108988,499900,https://realtor.ca/real-estate/23196990/279-sandowne-drive-unit-20-waterloo,1311.0000,3 + 0,3,2,0,,,https://cdn.realtor.ca/listings/TS637565001104730000/reb44/highres/8/40108988_1.jpg,Single Family,Apartment,Condominium,Carport,,"If you're looking for a turnkey property as a first time buyer, investor or young family, you're in luck. This is the first unit to come up in this well managed development in 2 years! This alone speaks volumes of this development in Waterloo East. Unit 20 is an end unit with lots of light from the windows at both the front and back of the property. Inside the front door, you'll notice the extensive updates done since 2017: furnace, AC, flooring, and more. The bright, open concept layout allows you to entertain easily, with an open kitchen looking into the living and dining room. There is also a powder room on the mail level. Upstairs you'll find 3 great sized bedrooms, along with a full bathroom. The basement is also fully finished with tons of space for a home office, home gym or TV room. There's even an additional bathroom! Located close to Sandowne Park, Rexall, Freshco and the highway, this is a rare opportunity you should move on, but do it quick! (63305978)"
15 Tyson Drive,,Kitchener,Ontario,N2K1G8,Canada,43.48197326,-80.47944611,40112342,589000,https://realtor.ca/real-estate/23197012/15-tyson-drive-kitchener,1050.0000,2 + 0,2,1.5000,0,under 1/2 acre,168 ft,https://cdn.realtor.ca/listings/TS637565001789600000/reb16/highres/2/40112342_1.jpg,Single Family,House,Freehold,Detached Garage,4,"This Charming Two Bedroom Two Bath Home is perfect for a small family or couple looking to escape to a Quiet Country Retreat in the City. This Gorgeous Century Farmhouse Property sits on a rare Quarter Acre tree lined Lot backing onto the Grand River! Great opportunity to expand your green thumb...grow your own vegetable gardens and raise your own chickens..live sustainably. Canoe the Grand steps from your back yard and watch the eagles and wild life. Plenty of transportation options including only 5 minutes from the Go Station, 10 minutes to the 401 and Minutes from St Jacob's Market. Close to Walking Trails, Parks, Daycare, Shopping and Schools. This Stunning Carpet Free Home Features Hardwood Floors throughout, a Romeo and Juliet Balcony off the Master Bedroom and a Classic Oak Staircase that adds to the Beauty. A Kitchen with plenty of Cabinets and Counter Space open to a Luxury Dining Room Setting for Entertaining and Family Dinners. A Bright Main Floor Office/ Den with a Ensuite Bath that also has potential for a Main Floor Bedroom.The Cozy Family Room has a Gas Fireplace, Vaulted Ceiling and Skylight with Custom Sun Block Shade. Made for that special Family Time and Cold Winter Nights. A Spacious Primary Bedroom with a 4 Piece Ensuite Bath Featuring a Cast Iron Claw Foot Tub and a Second Upstairs Bedroom that makes for a nice Nursery off the Master Bedroom. A Single Detached Garage with potential to expand and plenty of parking with the double driveway. A nice Fenced Back Yard with Perrenial Gardens and new Vinyl Picket Fence around the Home. Well maintained and updated including Roof(14), Vinyl Siding (17),Vinyl Picket Fence (19), New High Efficiency Furnace and Air Conditioning 2020 with 10 year warranty, Fence Oil Stained (20). Plenty of room for Growth with the Property and had Approval for a Second Floor Addition. One of a kind Opportunity for Country Living in the City. This is a Home you have to see. (63309354)"
